,date,time,action,protocol,src-ip,dist-ip,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,path
0,2021-02-11,13:09:00,ALLOW,2,127.0.0.1,224.0.0.22,-,-,0,-,-,-,-,SEND
1,2021-02-11,13:09:01,ALLOW,UDP,192.168.56.1,239.255.255.250,57601,1900,0,-,-,-,-,SEND
2,2021-02-11,13:09:01,ALLOW,UDP,192.168.99.1,239.255.255.250,57602,1900,0,-,-,-,-,SEND
3,2021-02-11,13:09:01,ALLOW,UDP,127.0.0.1,239.255.255.250,57603,1900,0,-,-,-,-,SEND
4,2021-02-11,13:09:01,ALLOW,UDP,127.0.0.1,239.255.255.250,57603,1900,0,-,-,-,-,RECEIVE
9,2021-02-11,13:09:01,ALLOW,UDP,127.0.0.1,127.0.0.1,57613,9999,0,-,-,-,-,SEND
10,2021-02-11,13:09:02,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,-,-,-,-,SEND
11,2021-02-11,13:09:02,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,-,-,-,-,RECEIVE
13,2021-02-11,13:09:11,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,-,-,-,-,SEND
14,2021-02-11,13:09:11,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,-,-,-,-,RECEIVE
15,2021-02-11,13:09:11,ALLOW,UDP,192.168.99.1,192.168.99.255,138,138,0,-,-,-,-,SEND
16,2021-02-11,13:09:11,ALLOW,UDP,192.168.99.1,192.168.99.255,138,138,0,-,-,-,-,RECEIVE
17,2021-02-11,13:09:17,ALLOW,TCP,127.0.0.1,127.0.0.1,49684,9487,0,-,0,0,0,SEND
18,2021-02-11,13:09:17,ALLOW,TCP,127.0.0.1,127.0.0.1,49684,9487,0,-,0,0,0,RECEIVE
19,2021-02-11,13:09:29,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
20,2021-02-11,13:09:29,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
22,2021-02-11,13:09:29,ALLOW,UDP,192.168.56.1,224.0.0.252,50245,5355,0,-,-,-,-,SEND
24,2021-02-11,13:09:29,ALLOW,UDP,192.168.99.1,224.0.0.252,50245,5355,0,-,-,-,-,SEND
26,2021-02-11,13:09:29,ALLOW,UDP,192.168.56.1,224.0.0.252,63793,5355,0,-,-,-,-,SEND
28,2021-02-11,13:09:29,ALLOW,UDP,192.168.99.1,224.0.0.252,63793,5355,0,-,-,-,-,SEND
30,2021-02-11,13:09:31,ALLOW,UDP,192.168.56.1,224.0.0.252,54416,5355,0,-,-,-,-,SEND
32,2021-02-11,13:09:31,ALLOW,UDP,192.168.99.1,224.0.0.252,54416,5355,0,-,-,-,-,SEND
34,2021-02-11,13:09:31,ALLOW,UDP,192.168.56.1,224.0.0.252,57666,5355,0,-,-,-,-,SEND
36,2021-02-11,13:09:31,ALLOW,UDP,192.168.99.1,224.0.0.252,57666,5355,0,-,-,-,-,SEND
38,2021-02-11,13:09:34,ALLOW,UDP,192.168.56.1,224.0.0.252,51165,5355,0,-,-,-,-,SEND
40,2021-02-11,13:09:34,ALLOW,UDP,192.168.99.1,224.0.0.252,51165,5355,0,-,-,-,-,SEND
42,2021-02-11,13:09:34,ALLOW,UDP,192.168.56.1,224.0.0.252,63455,5355,0,-,-,-,-,SEND
44,2021-02-11,13:09:34,ALLOW,UDP,192.168.99.1,224.0.0.252,63455,5355,0,-,-,-,-,SEND
46,2021-02-11,13:09:40,ALLOW,UDP,192.168.56.1,224.0.0.252,64687,5355,0,-,-,-,-,SEND
48,2021-02-11,13:09:40,ALLOW,UDP,192.168.99.1,224.0.0.252,64687,5355,0,-,-,-,-,SEND
50,2021-02-11,13:09:40,ALLOW,UDP,192.168.56.1,224.0.0.252,64410,5355,0,-,-,-,-,SEND
