Log analysis
2021-02-11 13:09:00 ALLOW 2 127.0.0.1 224.0.0.22 - - 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP 192.168.56.1 239.255.255.250 57601 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP 192.168.99.1 239.255.255.250 57602 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP 127.0.0.1 239.255.255.250 57603 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP 127.0.0.1 239.255.255.250 57603 1900 0 - - - - - - - RECEIVE
2021-02-11 13:09:01 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::c 57598 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::c 57599 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP ::1 ff02::c 57600 1900 0 - - - - - - - SEND
2021-02-11 13:09:01 ALLOW UDP ::1 ff02::c 57600 1900 0 - - - - - - - RECEIVE
2021-02-11 13:09:01 ALLOW UDP 127.0.0.1 127.0.0.1 57613 9999 0 - - - - - - - SEND
2021-02-11 13:09:02 ALLOW UDP 192.168.56.1 192.168.56.255 137 137 0 - - - - - - - SEND
2021-02-11 13:09:02 ALLOW UDP 192.168.56.1 192.168.56.255 137 137 0 - - - - - - - RECEIVE
2021-02-11 13:09:05 ALLOW ICMP fe80::5559:eaf2:464a:2dc1 ff02::16 - - 0 - - - - 143 0 - SEND
2021-02-11 13:09:11 ALLOW UDP 192.168.56.1 192.168.56.255 138 138 0 - - - - - - - SEND
2021-02-11 13:09:11 ALLOW UDP 192.168.56.1 192.168.56.255 138 138 0 - - - - - - - RECEIVE
2021-02-11 13:09:11 ALLOW UDP 192.168.99.1 192.168.99.255 138 138 0 - - - - - - - SEND
2021-02-11 13:09:11 ALLOW UDP 192.168.99.1 192.168.99.255 138 138 0 - - - - - - - RECEIVE
2021-02-11 13:09:17 ALLOW TCP 127.0.0.1 127.0.0.1 49684 9487 0 - 0 0 0 - - - SEND
2021-02-11 13:09:17 ALLOW TCP 127.0.0.1 127.0.0.1 49684 9487 0 - 0 0 0 - - - RECEIVE
2021-02-11 13:09:29 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:09:29 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:09:29 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 50245 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP 192.168.56.1 224.0.0.252 50245 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 50245 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP 192.168.99.1 224.0.0.252 50245 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 63793 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP 192.168.56.1 224.0.0.252 63793 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 63793 5355 0 - - - - - - - SEND
2021-02-11 13:09:29 ALLOW UDP 192.168.99.1 224.0.0.252 63793 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 54416 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP 192.168.56.1 224.0.0.252 54416 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 54416 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP 192.168.99.1 224.0.0.252 54416 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 57666 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP 192.168.56.1 224.0.0.252 57666 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 57666 5355 0 - - - - - - - SEND
2021-02-11 13:09:31 ALLOW UDP 192.168.99.1 224.0.0.252 57666 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 51165 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP 192.168.56.1 224.0.0.252 51165 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 51165 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP 192.168.99.1 224.0.0.252 51165 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 63455 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP 192.168.56.1 224.0.0.252 63455 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 63455 5355 0 - - - - - - - SEND
2021-02-11 13:09:34 ALLOW UDP 192.168.99.1 224.0.0.252 63455 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 64687 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP 192.168.56.1 224.0.0.252 64687 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 64687 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP 192.168.99.1 224.0.0.252 64687 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 64410 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP 192.168.56.1 224.0.0.252 64410 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 64410 5355 0 - - - - - - - SEND
2021-02-11 13:09:40 ALLOW UDP 192.168.99.1 224.0.0.252 64410 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 51325 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP 192.168.56.1 224.0.0.252 51325 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 51325 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP 192.168.99.1 224.0.0.252 51325 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 54631 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP 192.168.56.1 224.0.0.252 54631 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 54631 5355 0 - - - - - - - SEND
2021-02-11 13:09:51 ALLOW UDP 192.168.99.1 224.0.0.252 54631 5355 0 - - - - - - - SEND
2021-02-11 13:09:59 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:2 546 547 0 - - - - - - - SEND
2021-02-11 13:09:59 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:2 546 547 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 51846 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.56.1 224.0.0.252 51846 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 51846 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.99.1 224.0.0.252 51846 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 50469 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.56.1 224.0.0.252 50469 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 50469 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.99.1 224.0.0.252 50469 5355 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.56.1 239.255.255.250 57601 1900 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 192.168.99.1 239.255.255.250 57602 1900 0 - - - - - - - SEND
2021-02-11 13:10:06 ALLOW UDP 127.0.0.1 239.255.255.250 57603 1900 0 - - - - - - - SEND
2021-02-11 13:10:09 ALLOW UDP 192.168.56.1 192.168.56.255 138 138 0 - - - - - - - SEND
2021-02-11 13:10:09 ALLOW UDP 192.168.99.1 192.168.99.255 138 138 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 64639 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP 192.168.56.1 224.0.0.252 64639 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 64639 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP 192.168.99.1 224.0.0.252 64639 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 55047 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP 192.168.56.1 224.0.0.252 55047 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 55047 5355 0 - - - - - - - SEND
2021-02-11 13:10:11 ALLOW UDP 192.168.99.1 224.0.0.252 55047 5355 0 - - - - - - - SEND
2021-02-11 13:10:20 ALLOW ICMP fe80::ada7:ab40:ad8:3f32 ff02::16 - - 0 - - - - 143 0 - SEND
2021-02-11 13:10:20 ALLOW ICMP fe80::2cb5:2535:ba30:cd7b ff02::16 - - 0 - - - - 143 0 - SEND
2021-02-11 13:10:20 ALLOW 2 192.168.56.1 224.0.0.22 - - 0 - - - - - - - SEND
2021-02-11 13:10:20 ALLOW 2 192.168.99.1 224.0.0.22 - - 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW ICMP ::1 ff02::16 - - 0 - - - - 143 0 - SEND
2021-02-11 13:10:21 ALLOW UDP ::1 ::1 55048 55048 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP ::1 ::1 57600 57600 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:10:21 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:10:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:10:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:10:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 60779 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 63355 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.56.1 224.0.0.252 60779 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.56.1 224.0.0.252 63355 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 60779 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 63355 5355 0 - - - - - - - SEND
2021-02-11 13:10:21 ALLOW UDP 192.168.99.1 224.0.0.252 60779 5355 0 - - - - - - - SEND
